studentId,firstName,lastName,email,phone,dateOfBirth,gender,department,program,year,semester,division,batch,rollNumber,admissionDate,academicYear,guardianName,guardianPhone,guardianEmail,street,city,state,zipCode,country,
STU_CIV_001,Aditya,Sharma,aditya.sharma92@student.kongu.ac.in,8196770133,2004-08-19,Male,Civil Engineering,B.E.,1,1,A,B1,23CE001,2023-08-01,2023-2024,Rohan K,8199066511,rohan.k@gmail.com,"51, Main Street",Tiruppur,Tamil Nadu,621145,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_002,Sneha,A,sneha.a70@student.kongu.ac.in,7833623181,2004-04-30,Female,Civil Engineering,B.E.,1,1,A,B1,23CE002,2023-08-01,2023-2024,Aditya B,9808381396,aditya.b@gmail.com,"189, Main Street",Kanchipuram,Tamil Nadu,613704,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_003,Ananya,J,ananya.j31@student.kongu.ac.in,6186084815,2005-11-19,Female,Civil Engineering,B.E.,1,1,A,B1,23CE003,2023-08-01,2023-2024,Senthil Reddy,8410654929,senthil.reddy@gmail.com,"59, Main Street",Kanchipuram,Tamil Nadu,638654,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_004,Divya,S,divya.s93@student.kongu.ac.in,7817524551,2005-08-03,Female,Civil Engineering,B.E.,1,1,A,B1,23CE004,2023-08-01,2023-2024,Aditya P,8185832300,aditya.p@gmail.com,"107, Main Street",Thanjavur,Tamil Nadu,634553,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_005,Ajay,K,ajay.k46@student.kongu.ac.in,9507716580,2005-07-30,Male,Civil Engineering,B.E.,1,1,A,B1,23CE005,2023-08-01,2023-2024,Manikandan T,7116745217,manikandan.t@gmail.com,"92, Main Street",Chennai,Tamil Nadu,615892,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_006,Naveen,Raj,naveen.raj41@student.kongu.ac.in,9887253678,2004-01-01,Male,Civil Engineering,B.E.,1,1,A,B1,23CE006,2023-08-01,2023-2024,Vijay Sharma,8530313365,vijay.sharma@gmail.com,"179, Main Street",Vellore,Tamil Nadu,612595,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_007,Ganesh,Sekar,ganesh.sekar22@student.kongu.ac.in,8154564832,2005-03-23,Male,Civil Engineering,B.E.,1,1,A,B1,23CE007,2023-08-01,2023-2024,Surya Singh,6590373301,surya.singh@gmail.com,"22, Main Street",Chennai,Tamil Nadu,601067,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_008,Sowmya,R,sowmya.r72@student.kongu.ac.in,8358818792,2005-07-25,Female,Civil Engineering,B.E.,1,1,A,B1,23CE008,2023-08-01,2023-2024,Sanjay Sekar,6767209533,sanjay.sekar@gmail.com,"180, Main Street",Trichy,Tamil Nadu,623002,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_009,Deepak,Sharma,deepak.sharma82@student.kongu.ac.in,6662263483,2004-03-14,Male,Civil Engineering,B.E.,1,1,A,B1,23CE009,2023-08-01,2023-2024,Aditya Gupta,6650778714,aditya.gupta@gmail.com,"40, Main Street",Madurai,Tamil Nadu,604002,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
STU_CIV_010,Meera,M,meera.m69@student.kongu.ac.in,6878222648,2005-09-13,Female,Civil Engineering,B.E.,1,1,A,B1,23CE010,2023-08-01,2023-2024,Balaji Vel,8388336085,balaji.vel@gmail.com,"61, Main Street",Salem,Tamil Nadu,628565,India,"""Communication Skills - I,Matrices and Ordinary Differential Equations,Physics for Civil Engineering,Construction Materials and Practices,Problem Solving and Programming in C,Engineering Drawing,Engineering Practices Laboratory,Physics Laboratory for Civil Engineering,Yoga and Values for Holistic Development,Student Induction Program"""
